Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-10,The Slaying of the Bull is now free on Amazon for a limited time! Enjoy and Happy Holidays!  Mustreads GoodRead kindledeals paranormal books BookWorm GreatReads  bookbuzz BookBoost KindleUnlimited suspense thriller history fantasyreads ,0.9272,0.045,0.566,0.389
2020-12-10,Ever loved someone through their lies to the point you lost yourself? RideOrDie ThrowbackThursday ,-0.0516,0.255,0.55,0.195
2020-12-10,Garden Scissor Rs.76 + 5% unlimited cashback using Amazon pay icici Credit CardLink :,0.4404,0.095,0.612,0.293
2020-12-10, These Violent Delights by Chloe Gong US:  UK:   Books…,-0.2263,0.281,0.504,0.216
2020-12-10," SALE 99¢ 3 day left! Hurry!""If you love sweet, cozy, snowy, small town Christmas stories, Christmas in Bayberry is a…",0.8309,0.0,0.686,0.314
2020-12-10,Just saw this on Amazon: The Mummy (2017) [Blu-ray] by Dylan Kussman for $4.99  via ,0.1779,0.0,0.892,0.108
2020-12-10,"Wood Beard Comb is the perfect accessory for the bearded man. Made to order in the UK. Robust, stylish and practical ",0.7269,0.0,0.757,0.243
2020-12-10,"RT _cube: The Perfect Gift for Your Aspiring Cyberwarrior!The Best Introduction to Hacking..."" Amazon ReviewsAvailable now at Ama…",0.9151,0.0,0.523,0.477
2020-12-10, A World Beneath the Sands: The Golden Age of Egyptology by Toby Wilkinson US:  UK: …,0.0,0.0,1.0,0.0
2020-12-10, Death at Rainbow Cottage is live on Amazon - and FREE on Kindle Unlimited! Amazon UK  Amazon US…,0.5461,0.154,0.474,0.372
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10,Godrej HandWash 750ml Link :  2 qty,0.0,0.0,1.0,0.0
2020-12-10," If you need a gift for the reader in your life, check out Around the Dark Dial. 11 short scifi and mystery stories in the spirit of 1950's radio plays. Ideal for fans of the Twilight Zone, Black Mirror, etc.Aliens, AI, New Dimensions, and more! gifts",0.8516,0.0,0.799,0.201
2020-12-10, MOERDENG Exclusive deals save upto 20% with Coupons RHOSLC TheChallenge36 AEWDynam…,0.5719,0.0,0.657,0.343
2020-12-10,SOULLESS (Starcrossed Lovers Trilogy 2) by  is AVAILABLE NOW!!Amazon:  INTL:  &amp; Noble:  Books: :  ,0.7896,0.0,0.612,0.388
2020-12-10,💀COMING FEBRUARY 9th 2021💀“Kiss me. I’ll distract you from the pain.” - ©️Amo JonesApple: : : :  Signup &gt;&gt;  ,-0.296,0.136,0.864,0.0
2020-12-10," In his most ambitious and riveting book to date, William Dalrymple tells the story of the East India Company as it has never been told before, unfolding a timely cautionary tale of the first global corporate power.",0.5256,0.0,0.912,0.088
2020-12-10, A heartfelt story of youngsters maturing in a hurry after an awful family tragedy. not follo…,-0.5994,0.338,0.502,0.16
2020-12-10,"RT _hot: hanky panky, Signature Lace Original Rise Thong, One Size (4-14), Leopard",0.3182,0.0,0.839,0.161
2020-12-10,Check out this Amazon deal: Horizon Zero Dawn Complete Edition Hits - PlayStation 4 by Sony Interactive Entertai  via  $10,0.2204,0.0,0.901,0.099
2020-12-10,Garden Scissor at Rs.76Link : ,0.0,0.0,1.0,0.0
2020-12-10,Car Jump Starter  ,0.0,0.0,1.0,0.0
2020-12-10," My Amazon review of _Rookwood: The Rediscovery and Revival of an American Icon_.... Honestly, if you love pottery, it'…",0.836,0.0,0.643,0.357
2020-12-10,Not many left!!Vitafit Digital Body Weight Bathroom Scales Weighing Sc for only £11.99 ,0.0,0.0,1.0,0.0
2020-12-10," What was your favorite moment from the ""Breaking Bad"" finale??Hear  break down the show's final seconds wi…",-0.2168,0.177,0.686,0.137
2020-12-10,NEW KU “Absolute perfection” “Enemies to lovers is a favorite trope of mine and this checks all the boxes!” The Pretender: Black Mountain Academy by   ,0.7712,0.0,0.767,0.233
2020-12-10,Get those Amazon purchases 🎁shipped faster for free One month free Amazon Prime trial6 month 👀 free for studentsclick for details ,0.9062,0.0,0.53,0.47
2020-12-10,"RT _Wen_: Advanced Customer Analytics: Targeting, Valuing, Segmenting and Loyalty Techniques (Marketing Science) CustomerAnalytics http…",0.7845,0.0,0.603,0.397
2020-12-10,【Androidゲーム 9】 Spider City Adventure ,0.3182,0.0,0.635,0.365
2020-12-10,Newest Indoor Amplified Digital TV Antenna HDTV 4K 1080P Long Range 150 Miles  ,0.0,0.0,1.0,0.0
2020-12-10,"Day 10: Surprised Me the MostThe year isn't over, but so far it's Roshani Chokshi's *Once More Upon a Time*. I'm used to sort of dense prose and world-building from her and this is fluffy fairytale silliness. Lots of fun and deeply romantic.",0.8196,0.047,0.756,0.197
2020-12-10,"Mini Projector, CiBest Video Projector Outdoor Movie Projector, LED Portable Home Theater Projector 1080P and 200"" Supported, Compatible with PS4, PC via HDMI, VGA, TF, AV and USB  ",0.3182,0.0,0.922,0.078
2020-12-10,15 Pairs 12V Male+Female 2.1x5.5MM DC Power Jack Plug Adapter Connector for CCTV Camera and LED Strip Light  ,0.0,0.0,1.0,0.0
2020-12-10,"Razer Kraken X Lite Ultralight Gaming Headset: 7.1 Surround Sound - Lightweight Aluminum Frame - Bendable Cardioid Microphone - for PC, PS4, PS5, Switch, Xbox One, Xbox Series X &amp; S, Mobile - Black  ",0.0,0.0,1.0,0.0
2020-12-10," Thank you!Why not try a steampunk mmromance?Follow the intrigue, decadence, and unexpected paths Nathan takes as he navigates his arranged marriage to Lord Rother.KindleUnlimited writeLGBTQ LGBTQ promoLGBTQUK: : ",0.4199,0.0,0.9,0.1
2020-12-10,"PEC Heavy-Duty Industrial Floor Scale with Carbon Steel Ramp, Warehouse Pallet Weighing Equipment, Accurate Digital Indicator Included (48” x 60”, Ramp4840)  ",0.0,0.0,1.0,0.0
2020-12-10,"""Listen up, Frankenstein. You had no right putting my face on that robot you built. Take it off, and we'll call it even.""  romcom KindleUnlimited ownvoices fastread kindlebook KindleBooks",-0.296,0.073,0.927,0.0
2020-12-10,"_01 Thank you for the update. We’re not able to view specific order information via Twitter. Was the item shipped by Amazon, or was it shipped by one of the third-party sellers on our website? You can confirm this in your order details here:  ^AD",0.4939,0.0,0.911,0.089
2020-12-10,"Video Camera Camcorder with Microphone, VAFOTON 1080P 30FPS 24MP Vlogging Camera for YouTube 16X Digital Zoom 3.0"" 270° Rotation Screen Vlog Camera Webcam with Handheld Stabilizer Remote Control  ",0.0,0.0,1.0,0.0
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10,"Sesame Street Plush Bundle featuring Elmo, Cookie Monster and GroverOn sale starting at $13.49 (Reg. $21.99) sesamestreetbundle ",0.0,0.0,1.0,0.0
2020-12-10,"16.9"" Portable DVD Player with 14.1"" Large Swivel Screen, Car DVD Player Portable with 5 Hrs Rechargeable Battery, Mobile DVD Player for Kids, Sync TV, Support USB SD Card with Car Charger (Blue)  ",0.4019,0.0,0.92,0.08
2020-12-10,Save up to 27% off on Sony True Wireless Headphones ad &gt;&gt;&gt;&gt;  giftideas gift Christmas2020 ,0.836,0.0,0.574,0.426
2020-12-10,LEGO City Great Vehicles Garbage Truck 60220718 days old makes this PRIME for retirement!  Amazon seller count recently cut in half.Read about it here: $27 at Amazon -&gt; $16 at Walmart -&gt; ,0.69,0.055,0.739,0.206
2020-12-10,"2.5mm Surveillance Listen Only Earpiece Covert Acoustic Coil Tube Headset for Walkie Talkies Ham Transceiver,Radio Speaker Mic Jacks  ",0.0,0.0,1.0,0.0
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10,*Amazon Best Seller*AMiERY Women's Comfy Casual Pajama Pants Floral Print Drawstring Palazzo Lounge Pants Wide Leg Deals clearthelists dailydeals Christmas2020 DealsAndSteals fashion amazon ,0.7717,0.0,0.722,0.278
2020-12-10,"RT _Howell: Books make great stocking stuffers! Stuff your favorite readers Kindle with this 5⭐ read.🎅🎁🎅🎁Dead World by Howell, K. Z.…",0.8122,0.0,0.72,0.28
2020-12-10,KeylessOption Keyless Entry Remote Car Key Fob Replacement for 16245100-29  ,0.0,0.0,1.0,0.0
2020-12-10, Star Wars Black Series 6” Credit Collection Mando is back up on Amazon ($24.99) -  …,-0.0772,0.19,0.582,0.228
2020-12-10,"Herschel Supply Backpack for $49, retail $99.99!!!  ",0.0,0.0,1.0,0.0
2020-12-10,"Coobes Compatible with Samsung Galaxy Watch 46mm/Galaxy Watch 3 45mm/Gear S3 Frontier/Classic Bands, 22mm Genuine Leather Cuff Bracelet Replacement Strap with Stainless Steel Buckle Men Women (Black)  ",0.0,0.0,1.0,0.0
2020-12-10,Star Wars Black Series 6” Credit Collection Mando is back up on Amazon ($24.99) -  ,-0.0772,0.19,0.582,0.228
2020-12-10," If you enjoyed _c_marshall's piece on the water paradox, grab a copy of TheGenesisQuest, a thrilling investigation into one…",0.7184,0.064,0.642,0.294
2020-12-10,Soft Anti-slip Silicone Protector Case Skin Cover Shell For Nintendo Wii U Gamepad (Black)  ,0.0,0.0,1.0,0.0
2020-12-10," More than 3,000 coronavirus deaths today. ",0.0,0.0,1.0,0.0
2020-12-10,"Iron Rations: A science fiction comedy adventure collection by Lowry, Chris via  sciencefiction kindleunlimited",0.5859,0.0,0.696,0.304
2020-12-10,D&amp;D Forgotten Realms Laeral Silverhand's Explorer's Kit40% offad  ,-0.2263,0.213,0.787,0.0
2020-12-10,HP H240 Smart Host Bus Adapter Storage Controller Plug-in Card Low Profile (726907-B21)  ,0.1531,0.133,0.696,0.171
2020-12-10,Just saw this on Amazon: Pet Expressions - Woof T-Shirt by Pen &amp; Ink Magic for $19.99  via ,0.1779,0.0,0.904,0.096
2020-12-10," Join paranormal investigator  and his team as they probe harrowing, unearthly happenings across the count…",0.296,0.0,0.864,0.136
2020-12-10,_duque We're sorry to hear this. Please reach out to us here:  The link will not require you to be signed in. We're here to help. ^CV,0.628,0.042,0.749,0.209
2020-12-10,"Enomol Wireless Car Charger Auto-Clamping Phone Mount,15W Qi Fast Charging Car Charger Air Vent Phone Holder Compatible with iPhone 12 Pro Max/11 Pro Max/Xs MAX/X/8,Samsung S20/S10/S10+/S9/S9+/S8  ",0.0,0.0,1.0,0.0
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10," Fab Stockingstuffer for that cozymystery reader&gt;FionaQuinnMysteries&gt; MURDER ON POINTE, posed as a ballerina can Fiona h…",-0.5319,0.253,0.607,0.14
2020-12-10,"[2 Pack] Compatible for Apple Watch 42mm Series 3/2/1 Tempered Glass Screen Protector with Hard Black Case, YMHML Full Coverage Easy Installation Bubble-Free Cover for iWatch Accessories  ",0.3612,0.048,0.853,0.099
2020-12-10,Goowls Security Camera Outdoor 1080P HD WiFi Wired IP Camera for Home Security Surveillance 2-Way Audio Night Vision Motion Detection Compatible with Alexa Cloud Storage and MicroSD Support 2 Pack  ,0.8176,0.0,0.725,0.275
2020-12-10,"SLIK Pro CF-634 Carbon Pro Carbon Fiber Tripod, Black (611-895)  ",0.0,0.0,1.0,0.0
2020-12-10,"The life of a teenager can be tough sometimes. Lakna's Monster: A young girl's odd, but terrifying secret by _n  childrens Fantasy ad",-0.7876,0.306,0.694,0.0
2020-12-10,"Adjustable Stand for Echo Show 5, Adjustable Stand Mount Accessories Compatible with Show 5, Magnetic Attachment,360 Degree Swivel, Tilt Function, Anti-Slip Base, Black  ",0.0,0.0,1.0,0.0
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10,🌟Multi-Use Code🌟50% off with Code: 50RMWX2H✅Let us know if you scored it⏰Limited time offer🚫No Promo-code/product guarantee👉As an Affiliate I earn from qualifying purchasesad ,0.0,0.0,1.0,0.0
2020-12-10,"Rayovac Rechargeable AAA Batteries, High Capacity Rechargeable Plus AAA Batteries (4 Count)  ",0.0,0.0,1.0,0.0
2020-12-10,"NewReleaseYuletide Acres by  A free spirit, a drool-worthy single dad, his 6-yr-old daughter, &amp; a pinch of holiday magic. 99c for a VERY limited time at Amazon: US: :  in KU",0.6677,0.088,0.63,0.282
2020-12-10,"Stand for Samsung Galaxy Watch 3 41mm 45mm/ Active 2 40mm 44mm/Galaxy Watch Active 40mm,Non-Slip Silicone Charging Dock Holder,Charger Bracket with Integrated Cable Management Slot (Black)  ",0.6597,0.0,0.803,0.197
2020-12-10,MOERDENG Exclusive deals save upto 20% with Coupons RHOSLC TheChallenge36 AEWDynamite kacey Feinstein troye HunterBiden icarly GrinchMusical ScottieBarnes MarkCuban ElSalvador MatthewMorrison BidenWonDonaldLost USA Canada ,0.5719,0.0,0.824,0.176
2020-12-10,"Wireless Shutter Release for Canon, Pixel TW283-N3/E3 Camera Remote Control for Canon EOS R, 5D seires 5D Mark 750D 1300D 7D Series 40D 30D 5D 70D 80D 60D, for Pentax K5 K20D  ",0.0,0.0,1.0,0.0
2020-12-10,💀COMING FEBRUARY 9th 2021💀“Kiss me. I’ll distract you from the pain.” - ©️ Apple: : : :  Signup &gt;&gt;  ,-0.296,0.136,0.864,0.0
2020-12-10,Third Party - Saints Row : The Third [Xbox 360] - 4005209152549  ,0.4019,0.0,0.748,0.252
2020-12-10, Brighten someone's Christmas with a great new cozymystery! BACK TO THE BURGH AND BEYOND--paperback under 10 &gt; https://…,0.807,0.0,0.673,0.327
2020-12-10,Mount-It! Articulating TV Wall Mount | Low-Profile Full Motion Bracket for 42-70 inch Screens | VESA Compatible up to 850x450 mm | 175 lb Weight Capacity | Black  ,0.0,0.0,1.0,0.0
2020-12-10," Hello! Thanks for reaching out! We're sorry to hear about this. Can you confirm the carrier that's assigned to deliver this package (Amazon, UPS, etc.)? You can find that information by clicking “track package” at the following link:  Keep us posted. ^ZB",0.6103,0.029,0.856,0.116
2020-12-10,-mustreads-FREE UNTIL DECEMBER 11!-Grab your free copy here: -US:   :   ,0.5562,0.0,0.69,0.31
2020-12-10,Preorder ↓Amazon US: UK: CA: AU: to your Goodreads →  up for an ARC →  ,0.0,0.0,1.0,0.0
2020-12-10,WOLADA 10x10ft Christmas Backdrops for Photography Christmas Tree Photography Backdrops Vinyl Christmas Photo Backdrop Studio Props 11715  ,0.0,0.0,1.0,0.0
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10, Christmas 3 sweetromances Christmasromances feelgoodfiction Free KindleUnlimited    UK h…,0.5106,0.0,0.68,0.32
2020-12-10,Just saw this on Amazon: Prime Book Box for Kids by PBB  via ,0.1779,0.0,0.876,0.124
2020-12-10,OSTENT 3.7V 1500mAh Rechargeable Battery Pack Replacement for Nintendo Wii U Gamepad  ,0.0,0.0,1.0,0.0
2020-12-10, Follow _Miss_V_XWishlist://t.co/sqP314C4nH abstraktdommes gl…,0.0,0.0,1.0,0.0
2020-12-10,"(2) Rockville W12K6D2 V2 12"" 4800w Subwoofers+Sealed Box+Mono Amplifier+Amp Kit  ",0.0,0.0,1.0,0.0
2020-12-10,evermore Try Amazon Home Services  ,0.1779,0.0,0.702,0.298
2020-12-10," Hello! Thank you for contacting us. Let's try the helpful steps here: , to see if this solves the problem. Please keep us updated! ^OH",0.782,0.084,0.589,0.327
2020-12-10,"Help us spread joy to survivors and their families this holiday season. Each woman will receive a bag with every item from our Amazon List inside, along with gift cards for herself and her children.Shop the Amazon wish list here:  ",0.9487,0.0,0.632,0.368
2020-12-10,"Get a 50 pack of Black Face Masks for $12.99!(100 pack for $21.88!) star rating, 2200+ reviews!Free next day Delivery! Best Selling Facial Mask on Amazon!! ",0.7946,0.0,0.765,0.235
2020-12-10,Take Action! And Build the Life you want  book by Eddie de Jong 21+ x 5 star reviews IndieKindle ,0.1511,0.0,0.91,0.09
2020-12-10,Writer Bracelet Author Bracelet Writer Gift Novelist Gift Careful Or Youll End Up in My Novel sponsored  wrtiing jewelry ,0.8271,0.0,0.607,0.393
