Attributes,Values
Sector,Consumer Cyclical
Industry,Internet Retail
Country,USA
Index,S&P 500
Market Cap,1556.18B
Income,17.38B
Sales,347.95B
Book/sh,165.22
Cash/sh,136.98
P/E,91.26
Forward P/E,68.67
PEG,2.51
P/S,4.47
P/B,18.86
P/C,22.75
EPS (ttm),34.15
EPS next Y,30.21%
EPS next Q,7.09
EPS this Y,15.90%
EPS next 5Y,36.35%
