Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-11, Truth bombs flying  _prue PetaCredlin   ,0.3182,0.0,0.635,0.365
2020-12-11, Human Rights Day 2020 organised by   would like to thank everyone for making our…,0.6124,0.0,0.706,0.294
2020-12-11, I will send a random person $150 all you have to do is RT and be following  &amp; myself in the next 48hrsMust…,0.0,0.0,1.0,0.0
2020-12-11,PLEASE share this message as far/wide as you can...we are needed.         It’s time for us to be there for restaurants the way they’ve always been there for us... SaveRestaurants  ,0.6408,0.0,0.838,0.162
2020-12-11,YOU DID THIS.YOU. DID. THIS.,0.0,0.0,1.0,0.0
2020-12-11,RT _Thailand: [📷 FB]​ BE BTS _twt() ,0.0,0.0,1.0,0.0
2020-12-11, 📢 _ph Ad is out now!       YT ~  ~  …,0.0,0.0,1.0,0.0
2020-12-11," I DESPERATELY want a viable alternative to Facebook. I can't stand it, but it feels like the only way to stay in touch with my group of US friends.  I'm just about fed up enough at this point to delete my profile anyway, though. After I get out of FB jail, that is 🤣",0.7494,0.039,0.808,0.153
2020-12-11, I will send a random person $150 all you have to do is RT and be following  &amp; myself in the next 48hrsMust…,0.0,0.0,1.0,0.0
2020-12-11, WATCH: How Taiwan Contained the Twin Pandemic of COVID-19 and Disinformation. KayaPala  …,0.0,0.0,1.0,0.0
2020-12-11,  Watch the unedited (real) Interview here.,0.0,0.0,1.0,0.0
2020-12-11, Two auctions currently running on FB. One in aid of Clare Greyhound Sanctuary 🇮🇪 ends 18th Dec 9pm …,0.0,0.0,1.0,0.0
2020-12-11," I hope to see you next Friday, December 18th. I will be with my girl, , in Fort Lauderdale, FL &amp; we are collec…",0.4404,0.0,0.873,0.127
2020-12-11," Can’t tell you how excited we are to have  back on the show, so is it cool if we just show you? 7 PM this…",0.6077,0.0,0.816,0.184
2020-12-11,  check out  new song WENEEDLOVE RT please ,0.3182,0.0,0.723,0.277
2020-12-11," 3,000 people are dying daily. We are ICU/Critical Care doctors and this plague has brought us to our knees because we…",0.4939,0.0,0.862,0.138
2020-12-11,  | MotivationalSpeaker | GoTheExtraMileFollow us 👉  successtrain personalgrowth personaldevelopment GTD Productivity  inspirethemretweet success  lifequotes dailyquotes growth quoteoftheday positivi ,0.743,0.0,0.674,0.326
2020-12-11,Watch it all unfold over on.. ,0.0,0.0,1.0,0.0
2020-12-11,Vote for the Cindy Norcross  at 5 top 5 songs with  for 12/11. Ballot 3 of 3. Download the K96 app to listen everywhere! Also vote on FB    ,0.2714,0.0,0.92,0.08
2020-12-11, check out  new song WENEEDLOVE RT please ,0.3182,0.0,0.723,0.277
2020-12-11,_suikaaa: YOUTUBE:  :  (via ) : ,0.0,0.0,1.0,0.0
2020-12-11,RT _barbera: Facebook released today new datasets available to academics and non-profits through its Data for Good program. …,0.4404,0.0,0.854,0.146
2020-12-11," Facebook / PTAT Metrics Update ⚠️Current PTAT is 149,264. It's 52.5% higher than the PTAT last week, 97,864.This may sti…",0.0,0.0,1.0,0.0
2020-12-11," CCTV footage &amp; physical examination show telephone lines in Tigray’s capital, Mekele, were deliberately damaged &amp; sabotag…",-0.4404,0.153,0.847,0.0
2020-12-11, Tackling HouseBill1526Should minors be prohibited from competing in contact sports? That's the question The Hit L…,0.0,0.0,1.0,0.0
2020-12-11," 3,000 people are dying daily. We are ICU/Critical Care doctors and this plague has brought us to our knees because we…",0.4939,0.0,0.862,0.138
2020-12-11, Quit FB.Lots of inventions that seemed like good idea die out.Facebook is to real friendshiplike PetRocks were to real pets:waste of time/moneywith no benefitof the institutionsbeing destroyed &amp; destroyed:Friends or Pet ownership.(FB made so MarkieZ could get girlfriend),-0.5994,0.195,0.692,0.113
2020-12-11," Better late than never! Congratulations _ for reaching 5,000 . Stickers are now available for his su…",-0.2801,0.252,0.602,0.146
2020-12-11, 🌈 Thanks to everybody who contributed to the closing event of outinfootball co-hosted by  &amp; …,0.4404,0.0,0.818,0.182
2020-12-11," This morning we were joined by Clodagh Sweeney, whose late daughter Keri’s wish was granted by the charity, and …",0.7579,0.0,0.681,0.319
2020-12-11," 201211 _BeatYourBest update ""BamBam will do a thing that has never been done before""⏰Dec 15 at 12.15PM KST 📌IG h…",0.0,0.0,1.0,0.0
2020-12-11," ⚠️ EVERYONE PLEASE HELP TO REPORT/BLOCK ‼️&gt;&gt;&gt; 🚨For those who have fb accounts, please report. T…",0.8301,0.0,0.597,0.403
2020-12-11, I will send a random person $150 all you have to do is RT and be following  &amp; myself in the next 48hrsMust…,0.0,0.0,1.0,0.0
